"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 10 11:52:47 GMT 2022","Wed Aug 10 11:53:20 GMT 2022","32876","tests","test_suite_demo","ViewOffersAndAcceptOffer","","","test_view_the_offers_and_accept_the_offer",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:56 GMT 2022","38991","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Admin",""
"failed","Wed Aug 10 11:52:03 GMT 2022","Wed Aug 10 11:52:41 GMT 2022","38040","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServiceLocation",""
"failed","Wed Aug 10 11:52:07 GMT 2022","Wed Aug 10 11:52:44 GMT 2022","36693","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_email",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:57 GMT 2022","39852","tests","test_suite_demo","LoginTest","","","test_Login_Verify_LoginPage",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:56 GMT 2022","39256","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_BusinessAccount",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:56 GMT 2022","38701","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_CountrySettings_Pagination",""
"failed","Wed Aug 10 11:52:02 GMT 2022","Wed Aug 10 11:52:40 GMT 2022","38193","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditProfile",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:56 GMT 2022","39334","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_IndividualAccount",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:56 GMT 2022","39249","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_InvalidCredentials_VerifyErrorMessage",""
"failed","Wed Aug 10 11:52:03 GMT 2022","Wed Aug 10 11:52:41 GMT 2022","38114","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditServices",""
"failed","Wed Aug 10 11:52:03 GMT 2022","Wed Aug 10 11:52:41 GMT 2022","38248","tests","test_suite_demo","SignUpTest","","","test_Signup_Verify_Signup_page",""
"failed","Wed Aug 10 11:52:36 GMT 2022","Wed Aug 10 11:53:09 GMT 2022","32947","tests","test_suite_demo","SubmitOffer","","","test_submit_the_offer",""
"failed","Wed Aug 10 11:51:16 GMT 2022","Wed Aug 10 11:51:54 GMT 2022","37471","tests","test_suite_demo","AdminConfigurationsTest","","","test_Admin_Verify_Admin_Page",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:54 GMT 2022","37496","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_and_choose_flyers",""
"failed","Wed Aug 10 11:51:59 GMT 2022","Wed Aug 10 11:52:33 GMT 2022","34325","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_preferred_date",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:57 GMT 2022","39175","tests","test_suite_demo","LoginTest","","","test_Login_Login_with_Google",""
"failed","Wed Aug 10 11:52:01 GMT 2022","Wed Aug 10 11:52:40 GMT 2022","38800","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditSkills",""
"failed","Wed Aug 10 11:51:17 GMT 2022","Wed Aug 10 11:51:56 GMT 2022","39094","tests","test_suite_demo","PostJobRequest","","","test_post_a_remote_job_request_with_flexible_date",""
"failed","Wed Aug 10 11:52:07 GMT 2022","Wed Aug 10 11:52:43 GMT 2022","36100","tests","test_suite_demo","ProfileTest","","","test_Profile_Individual_Flyer_EditListingAndPackages",""
"failed","Wed Aug 10 11:52:03 GMT 2022","Wed Aug 10 11:52:41 GMT 2022","37888","tests","test_suite_demo","SignUpTest","","","test_VerifyErrorSigup_with_existing_username",""
"failed","Wed Aug 10 11:52:03 GMT 2022","Wed Aug 10 11:52:41 GMT 2022","37696","tests","test_suite_demo","SignUpTest","","","test_Signup_CreateAccount_Individual",""
